id,name,tenure_months,monthly_revenue,support_tickets_90d,payment_failures_90d,usage_change_pct,nps,plan_type,days_since_login,discount_pct,price_increase_pct,engagement_trend_pct,complaint_recency_days,feature_adoption_pct,competitor_pressure,churned
rahul-sharma,Rahul Sharma,8,420,8,2,-48,2,premium,46,10,15,-42,8,31,3,1
maya-patel,Maya Patel,38,1250,1,0,4,72,premium,2,35,0,6,70,88,0,0
arjun-reddy,Arjun Reddy,14,210,5,1,-22,24,standard,18,15,10,-16,13,49,2,1
sara-khan,Sara Khan,55,680,0,0,15,81,premium,1,5,0,12,90,92,0,0
viktor-lee,Viktor Lee,5,95,7,1,-38,12,basic,41,25,10,-35,9,28,2,1
cust-00006,Customer 00006,72,419.2,2,0,-16.6,19,standard,16,11,10,-10.0,66,46.9,0,0
cust-00007,Customer 00007,45,997.3,2,1,-12.1,46,premium,60,18,0,-9.3,47,52.4,0,0
cust-00008,Customer 00008,17,153.56,2,0,-5.4,30,basic,17,3,0,-4.1,28,56.0,1,0
cust-00009,Customer 00009,36,143.37,1,0,-29.7,69,basic,33,13,15,-3.8,25,55.8,0,0
cust-00010,Customer 00010,26,281.52,1,1,-1.1,70,standard,22,7,0,-7.4,20,76.1,1,0
cust-00011,Customer 00011,3,1500.57,3,0,-7.1,33,premium,41,0,0,-9.0,49,80.8,0,0
cust-00012,Customer 00012,5,1064.26,1,0,12.7,63,premium,51,3,10,3.9,38,51.6,0,0
cust-00013,Customer 00013,29,1151.19,3,0,-7.2,51,premium,23,2,0,-12.6,22,41.1,1,0
cust-00014,Customer 00014,36,348.68,0,0,22.8,20,standard,36,19,0,24.6,31,68.0,1,0
cust-00015,Customer 00015,25,442.09,0,1,29.9,71,standard,34,28,0,6.3,88,68.2,0,0
cust-00016,Customer 00016,34,227.13,2,1,1.6,55,basic,34,8,0,-2.6,36,45.5,2,0
cust-00017,Customer 00017,72,709.06,0,1,-20.2,44,premium,20,14,15,-23.7,53,53.3,0,1
cust-00018,Customer 00018,38,820.09,4,2,16.1,45,premium,15,0,5,18.2,23,12.1,0,0
cust-00019,Customer 00019,23,217.55,0,0,7.7,71,basic,15,5,0,11.6,35,57.7,1,0
cust-00020,Customer 00020,6,929.42,1,0,-15.9,10,premium,12,0,0,-15.8,53,47.2,0,1
cust-00021,Customer 00021,28,170.91,2,0,-6.7,43,basic,13,5,10,-23.1,36,79.5,0,0
cust-00022,Customer 00022,14,373.52,0,0,-4.7,82,standard,2,24,5,3.7,85,53.9,0,0
cust-00023,Customer 00023,32,703.2,1,0,39.7,78,premium,2,12,0,47.1,26,50.1,1,0
cust-00024,Customer 00024,11,446.58,1,4,-15.3,36,standard,15,15,0,-13.5,32,45.8,2,1
cust-00025,Customer 00025,13,113.21,1,0,-41.8,68,basic,24,3,10,-41.9,6,92.5,0,1
cust-00026,Customer 00026,14,240.89,2,0,-4.9,16,standard,13,14,5,-4.8,2,62.5,0,0
